,Country,Balance,Product,January-2015,February-2015,March-2015,April-2015,May-2015,June-2015,July-2015,August-2015,September-2015,October-2015,November-2015,December-2015,January-2016,February-2016,March-2016,April-2016,May-2016,June-2016,July-2016,August-2016,September-2016,October-2016,November-2016,December-2016,January-2017,February-2017,March-2017,April-2017,May-2017,June-2017,July-2017,August-2017,September-2017,October-2017,November-2017,December-2017,January-2018,February-2018,March-2018,April-2018,May-2018,June-2018,July-2018,August-2018,September-2018,October-2018,November-2018,December-2018,January-2019,February-2019,March-2019,April-2019,May-2019,June-2019,July-2019,August-2019,September-2019,October-2019,November-2019,December-2019,January-2020,February-2020,March-2020,April-2020,May-2020,June-2020,July-2020,August-2020,September-2020,October-2020,November-2020,December-2020,January-2021,February-2021,March-2021,April-2021,May-2021,June-2021,July-2021,August-2021,September-2021,October-2021,November-2021,December-2021,January-2022,February-2022,March-2022,April-2022,May-2022,June-2022,July-2022,August-2022,September-2022,October-2022,November-2022
288,France,Distribution Losses,Electricity,4493.983,4068.694,3476.236,2677.844,2358.791,2265.654,2506.556,2272.816,2328.265,2940.131,3151.625,3599.836,4239.943,3759.835,3746.478,3015.433,2463.15,2277.323,2448.581,2367.253,2419.485,2872.306,3539.517,4328.737,5266.641,3566.401,3285.401,2758.429,2555.543,2440.297,2565.328,2449.058,2499.391,2797.363,3767.939,4647.51,4074.5983,4455.4358,3993.5404,2766.8555,2573.4319,2385.4657,2672.1663,2521.7039,2472.8652,2906.2172,3653.1131,4144.8917,4937.0299,3761.2758,3449.4105,2909.0854,2665.1562,2411.3491,2518.5242,2290.5021,2381.8058,2802.9961,3692.4723,4273.1166,4243.4107,3637.6153,3414.4995,2413.6105,2308.2064,2256.5239,2298.4553,2298.7775,2292.379,2949.6129,3463.3886,4317.0525,5041.5994,3905.0425,3795.1141,2753.6125,2595.7523,2256.9958,2285.2041,2274.4481,2238.5406,2791.2288,3783.1256,4413.2195,4886.3115,3839.7994,3574.3011,2867.7378,2230.1168,2205.9154,2302.9253,2255.1102,2235.008,2420.7251,3157.2883
289,France,Final Consumption (Calculated),Electricity,49191.405,45846.578,43417.369,34623.517,31881.999,31254.037,32763.281,29587.445,31564.294,36830.476,38949.307,42137.386,46903.873,43634.011,44597.297,36657.733,32800.199,31086.577,31781.783,30218.752,31449.751,36235.94,41898.912,47452.308,56020.559,40933.017,40341.73,34008.718,32896.897,31738.88,31786.36,30060.751,31482.176,33794.171,41551.118,47402.358,45733.756,46359.7971,45454.4696,34711.1266,32610.9649,31088.232,32479.2225,30478.1888,30839.3102,34490.6906,40451.3483,44111.8614,49833.4861,41321.1836,40988.5741,35741.8629,33710.9845,30921.5624,32629.4402,30210.8903,30556.0093,34210.5745,41088.176,43671.3022,45854.2631,40533.5245,39035.5275,29672.7446,29381.7676,29121.0293,31300.7463,29660.4228,30683.6552,36051.6898,36904.977,43954.3908,49101.1482,40289.2,41287.8744,35666.1215,33654.2541,30688.2003,31747.6013,30226.811,31196.0774,35194.6671,41699.85,45810.7697,48171.2957,40166.0528,40034.2496,34904.3762,31340.0626,30993.8617,32035.6828,30144.7722,30179.7243,30093.0349,34098.0003
290,France,Net Electricity Production,"Coal, Peat and Manufactured Gases",1921.384,1985.564,1594.845,713.571,407.922,401.99,615.441,454.07,803.921,1339.387,1783.439,1656.399,1226.456,967.149,1136.07,648.019,436.266,445.989,550.556,566.01,990.375,1180.467,1624.657,1780.86,2500.421,1519.68,674.368,884.398,806.621,557.668,1215.823,328.452,812.081,1515.452,2143.085,1380.078,799.931,1488.9671,1420.0877,543.7948,466.0537,590.2757,852.5386,766.299,603.1815,1043.8287,859.2742,511.5294,1062.3464,693.3069,221.1522,236.7538,192.9797,210.3291,311.3088,244.6583,233.9374,236.0634,1119.1317,778.3247,501.4744,371.4145,239.0108,183.2489,272.2818,172.5934,409.8183,262.1176,622.0343,336.769,423.5364,869.4185,1881.6014,829.0381,726.22,472.4201,183.6101,206.9516,264.8738,361.976,1087.5743,1275.114,1312.7013,1256.6365,1250.8879,974.182,712.5861,186.9575,141.3141,136.2234,126.5012,123.1264,117.7009,141.3073,417.4277
291,France,Net Electricity Production,Combustible Renewables,862.117,890.914,715.6,320.176,183.033,180.371,276.146,203.739,360.716,600.977,800.221,743.219,753.371,594.088,697.851,398.057,267.984,273.956,338.188,347.681,608.355,725.122,997.973,1093.923,566.902,506.913,615.723,462.174,571.225,706.171,693.683,691.456,624.232,442.664,789.75,669.904,783.0054,701.1589,773.1044,908.9721,887.0294,515.7261,539.7559,518.4447,610.0703,412.5312,560.7664,693.3841,735.431,743.6879,1200.7671,595.122,624.9595,548.2658,532.6425,839.2378,542.8604,491.6343,579.3016,720.825,723.2138,827.6633,1004.4627,1179.3525,662.0897,520.632,559.2223,512.4279,472.1479,501.3285,656.0109,725.8775,869.0984,948.4077,1080.8244,619.9303,960.4877,719.4132,1045.3962,1175.7501,785.7003,782.2557,885.1746,855.1745,784.544,954.9415,831.7679,704.1992,937.0593,754.4758,682.8826,630.9546,824.4362,521.3988,752.1951
292,France,Net Electricity Production,Electricity,59513.409,53346.919,51825.347,41921.598,40952.961,40227.363,42091.022,39235.372,39475.143,45073.601,48600.692,52863.358,57018.088,52927.983,53124.257,43773.691,41149.229,40591.848,38982.187,36503.548,37057.968,40412.931,46576.417,52301.613,61049.822,48640.646,50710.41,42714.576,42011.805,38177.035,39406.629,37595.997,39030.196,39661.204,45255.797,53595.104,57918.0873,54350.2218,53390.0237,43971.7136,43937.3063,41650.1667,41841.6212,37830.9656,39530.6623,42636.258,46612.5654,54128.2181,56510.1289,51036.9309,51814.3863,43482.5131,44470.7845,41029.3789,41144.5892,38588.8324,38371.0765,41779.2925,46651.4036,52161.1631,55139.691,51609.8038,49036.6859,38377.2475,38686.1943,35121.5634,35101.6667,34054.6937,32764.7847,42367.9392,45693.2555,51296.1989,56528.2626,48082.6443,48747.8261,40208.5438,42649.2537,40204.1013,41702.609,40559.7847,39632.5395,42934.7701,45211.8248,48937.6237,52669.4315,46441.3971,43122.474,37156.5901,34642.4281,32487.9139,31443.6733,29595.0187,29553.3836,32897.9184,36830.3621
293,France,Net Electricity Production,Geothermal,6.902,6.902,6.902,6.902,6.902,6.902,6.902,6.902,6.902,6.902,6.902,6.902,7.328,7.328,7.328,7.328,7.328,7.328,7.328,7.328,7.328,7.328,7.328,7.328,9.995,9.995,9.995,9.995,9.995,9.995,9.995,9.995,9.995,9.995,9.995,9.995,9.5327,9.5327,9.5327,9.5327,9.5327,9.5327,9.5327,9.5327,9.5327,9.5327,9.5327,9.5327,9.6461,9.6461,9.6461,9.6461,9.6461,9.6461,9.6461,9.6461,9.6461,9.6461,9.6461,9.6461,9.9999,9.9999,9.9999,9.9999,9.9999,9.9999,9.9999,9.9999,9.9999,9.9999,9.9999,9.9999,10.0226,10.0226,10.0226,10.0226,10.0226,10.0226,10.0226,10.0226,10.0226,10.0226,10.0226,10.0226,7.9717,7.9717,7.9717,7.9717,7.9717,7.9717,7.9717,7.9717,7.9717,7.9717,7.9717
294,France,Net Electricity Production,Hydro,6282.501,6470.196,6572.876,5852.154,6563.486,5735.575,4122.702,3483.925,3467.924,3921.785,3583.672,3715.394,5778.462,7073.672,6738.884,6591.294,6623.449,7289.999,5400.164,3949.998,3430.94,3106.483,4263.071,4634.634,5340.401,4630.124,6372.496,4282.998,5816.485,5210.316,3979.378,3567.71,3130.018,2760.589,3970.342,5398.78,7472.7322,7345.7105,7292.6748,7120.0593,7824.7401,7710.7028,5402.6846,4014.7431,3120.1291,3023.4403,4040.9557,5240.4065,5059.0096,5130.1038,5241.9124,4586.3548,5634.5068,5844.3558,4472.5872,3824.8303,2659.8265,3879.83,6558.6003,7926.5797,6385.066,6356.2359,7425.6982,5145.8028,6747.6458,6421.0223,4644.4101,3709.1857,3387.3886,5192.6882,4540.8619,5761.5129,7394.9304,6971.8815,6007.3713,4076.1872,6334.233,6280.6721,5682.6613,4442.8206,3452.1973,3062.1803,4046.7372,5358.5574,5985.7585,4436.0312,4638.4693,5139.5483,5062.6466,4071.9971,3507.6658,2706.3455,2459.6006,3049.5805,3858.3206
295,France,Net Electricity Production,Natural Gas,2794.769,2888.122,2319.798,1037.933,593.348,584.718,895.196,660.472,1169.352,1948.22,2594.119,2409.333,3501.994,2761.576,3243.91,1850.339,1245.704,1273.466,1572.045,1616.172,2827.894,3370.68,4639.009,5085.027,5015.473,4368.579,4283.446,2482.733,1671.899,1550.764,2101.518,1750.6,2188.391,3583.565,4705.467,4505.457,2874.3638,4137.5843,3357.2553,811.7469,635.8529,795.8559,1845.1454,1812.9929,1647.7014,2561.7215,4499.4765,3899.1116,5246.197,4149.3481,3211.6645,2095.6845,1986.9751,1782.3609,2645.2857,2074.3659,2662.7347,2959.1156,4581.4555,3693.1036,4755.8515,3455.8434,3410.2244,717.3105,1293.4228,2338.62,2387.0154,2392.0516,2392.1275,2228.5807,3955.8594,3990.5648,4028.9757,3306.5341,3504.3905,2557.8384,1281.2271,1522.912,1535.7443,903.3051,1482.9772,1683.0477,4336.8009,4297.9846,4659.9471,3418.4728,4361.1102,3111.6183,2755.2033,2337.9081,2863.1014,2726.428,2951.0057,3428.9806,3948.1136
296,France,Net Electricity Production,Not Specified,59.095,59.095,59.095,59.095,59.095,59.095,59.095,59.095,59.095,59.095,59.095,59.095,46.626,46.626,46.626,46.626,46.626,46.626,46.626,46.626,46.626,46.626,46.626,46.626,59.289,59.289,59.289,59.289,59.289,59.289,59.289,59.289,59.289,59.289,59.289,59.289,49.3924,49.3924,49.3924,49.3924,49.3924,49.3924,49.3924,49.3924,49.3924,49.3924,49.3924,49.3924,43.8948,43.8948,43.8948,43.8948,43.8948,43.8948,43.8948,43.8948,43.8948,43.8948,43.8948,43.8948,44.1207,44.1207,44.1207,44.1207,44.1207,44.1207,44.1207,44.1207,44.1207,44.1207,44.1207,44.1207,44.1207,44.1207,44.1207,44.1207,44.1207,44.1207,44.1207,44.1207,44.1207,44.1207,44.1207,44.1207,43.6602,43.6602,43.6602,43.6602,43.6602,43.6602,43.6602,43.6602,43.6602,43.6602,43.6602
297,France,Net Electricity Production,Nuclear,43792.628,37482.953,36915.156,31187.158,30329.492,30718.85,33272.066,31994.513,30643.271,34489.669,35680.943,40288.117,41588.517,37323.254,37177.228,31058.259,29445.13,28645.564,28346.39,27117.281,26481.303,29023.286,31150.896,36651.016,40491.902,33689.682,34272.88,31752.441,30137.017,26884.463,28160.084,28585.773,29346.359,28054.402,30335.238,37383.714,40788.3543,36406.6682,35675.3075,30590.4653,30578.6858,28620.3341,29952.684,27289.6652,30095.5341,31607.9153,32648.1122,38880.6011,40157.9937,36089.959,35497.7156,31756.6721,31668.804,28560.705,29195.0424,27721.1644,27533.4673,29162.9484,29133.6713,32985.8569,37352.3958,33178.5389,30624.8551,26823.525,24714.641,21334.9586,22499.4261,22876.5319,21739.6634,28271.6293,31565.6297,34432.4433,37176.8639,30337.8193,31695.3346,27209.1218,27574.6606,27716.1485,28449.3242,29010.9359,29001.3099,30658.2491,30370.7782,31503.1127,35220.278,29577.728,26851.912,21766.342,20531.226,20174.8203,18780.9554,18133.0465,18190.4956,20224.827,21597.2636
298,France,Net Electricity Production,Oil and Petroleum Products,882.148,911.614,732.227,327.616,187.286,184.562,282.562,208.473,369.097,614.941,818.814,760.488,686.607,541.44,636.007,362.781,244.235,249.678,308.218,316.87,554.442,660.862,909.533,996.98,4399.303,525.68,694.861,8.809,49.504,276.205,10.25,-19.22,47.247,127.201,197.036,267.144,409.7968,576.572,556.8424,422.9189,423.334,424.5642,430.1423,413.5016,417.76,420.9391,455.8853,441.9944,483.4636,464.5239,461.4115,450.9417,447.5314,447.199,451.9841,444.9929,448.5357,448.2692,503.7892,527.0474,440.1376,448.7131,452.511,416.9158,420.1391,445.7275,472.2438,418.847,452.4703,426.5841,417.5837,479.5457,465.3653,491.8911,447.5923,464.1139,459.7849,451.4865,422.2813,416.9589,425.7602,465.2925,571.2338,480.5049,537.5532,471.8725,538.0637,515.4212,477.3423,534.6515,587.8116,492.8842,506.1499,479.03,474.2791
299,France,Net Electricity Production,Other Combustible Non-Renewables,298.094,308.051,247.433,110.707,63.287,62.367,95.483,70.447,124.725,207.8,276.692,256.983,186.926,186.926,186.926,186.926,186.926,186.926,186.926,186.926,186.926,186.926,186.926,186.926,190.193,190.193,190.193,190.193,190.193,190.193,190.193,190.193,190.193,190.193,190.193,190.193,188.4023,188.4023,188.4023,188.4023,188.4023,188.4023,188.4023,188.4023,188.4023,188.4023,188.4023,188.4023,188.9041,188.9041,188.9041,188.9041,188.9041,188.9041,188.9041,188.9041,188.9041,188.9041,188.9041,188.9041,182.1106,182.1106,182.1106,182.1106,182.1106,182.1106,182.1106,182.1106,182.1106,182.1106,182.1106,182.1106,182.1106,182.1106,182.1106,182.1106,182.1106,182.1106,182.1106,182.1106,182.1106,182.1106,182.1106,182.1106,175.4064,175.4064,175.4064,175.4064,175.4064,175.4064,175.4064,175.4064,175.4064,175.4064,175.4064
300,France,Net Electricity Production,Other Renewables,40.121,40.121,40.121,40.121,40.121,40.121,40.121,40.121,40.121,40.121,40.121,40.121,41.199,41.199,41.199,41.199,41.199,41.199,41.199,41.199,41.199,41.199,41.199,41.199,42.943,42.943,42.943,42.943,42.943,42.943,42.943,42.943,42.943,42.943,42.943,42.943,39.5043,39.5043,39.5043,39.5043,39.5043,39.5043,39.5043,39.5043,39.5043,39.5043,39.5043,39.5043,39.4248,39.4248,39.4248,39.4248,39.4248,39.4248,39.4248,39.4248,39.4248,39.4248,39.4248,39.4248,39.6552,39.6552,39.6552,39.6552,39.6552,39.6552,39.6552,39.6552,39.6552,39.6552,39.6552,39.6552,39.6552,39.6552,39.6552,39.6552,39.6552,39.6552,39.6552,39.6552,39.6552,39.6552,39.6552,39.6552,39.8221,39.8221,39.8221,39.8221,39.8221,39.8221,39.8221,39.8221,39.8221,39.8221,39.8221
301,France,Net Electricity Production,Solar,262.31,382.762,593.997,802.702,905.79,978.679,1003.655,910.375,746.139,551.071,372.225,243.623,280.512,429.784,702.931,858.847,1012.586,1029.148,1137.079,1087.852,857.974,622.446,356.415,284.189,354.029,459.945,755.65,1037.009,1131.266,1168.794,1180.341,1114.282,882.89,726.71,446.501,328.898,365.9835,555.1972,841.0998,1060.0285,1196.8504,1319.3255,1427.5979,1319.1664,1127.6807,770.9307,459.3242,447.9742,469.2268,819.4116,1120.4645,1089.8871,1336.133,1427.6937,1479.0808,1474.9456,1266.9617,832.7495,429.5482,479.0816,525.2519,781.6057,1099.2545,1349.1236,1634.0249,1558.0505,1745.2771,1556.6426,1272.2975,808.0066,697.9612,370.8959,475.3258,672.3475,1298.1928,1583.7332,1619.2651,1678.6506,1718.6331,1747.3268,1458.5919,1243.1664,698.7965,582.4675,831.5369,1095.4401,1475.4118,1917.1103,2409.5295,2377.4889,2759.9299,2449.0222,1950.3445,1391.8463,898.8115
302,France,Net Electricity Production,Total Combustible Fuels,6758.512,6984.265,5609.902,2510.003,1434.876,1414.008,2164.826,1597.201,2827.811,4711.324,6273.286,5826.422,6355.354,5051.179,5900.764,3446.122,2381.115,2430.015,2955.933,3033.659,5167.992,6124.057,8358.098,9143.716,12672.292,7111.045,6458.591,4028.307,3289.442,3281.001,4211.467,2941.481,3862.144,5859.075,8025.531,7012.776,5055.4993,7092.6846,6295.692,2875.835,2600.6722,2514.8242,3855.9844,3699.6405,3467.1154,4627.4229,6563.8047,5734.4218,7716.342,6239.7708,5283.8993,3567.406,3441.3498,3177.059,4130.1253,3792.159,4076.9722,4323.9866,6972.5821,5908.2048,6602.7878,5285.7449,5288.3195,2678.9383,2830.0441,3659.6836,4010.4104,3767.5546,4120.8906,3675.373,5635.1009,6247.5171,7427.1514,5757.9816,5941.1378,4296.4133,3067.2204,3082.8739,3450.4061,3040.1007,3964.1226,4387.8205,7288.0212,7072.4112,7408.3387,5994.8753,6618.9345,4693.6026,4486.3255,3938.6652,4435.7031,4148.7997,4574.6991,4746.1231,5767.422
