Country,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
New Zealand,43445.429000000004,43062.565,42805.82,41870.855,42227.633,42895.304,42601.415,43012.211,43157.5932,43525.2059,43182.479,43269.5868,42536.6512,3404.6865
North Macedonia,387718.65269470366,387909.07555884134,389949.00723873876,389979.51383333333,384004.5794096916,5277.999,5284.253,5226.866,5282.7528999999995,5500.8141,5032.7568,5198.8809,5422.477,699.8301
Norway,123141.0,127040.0,147130.0,133486.0,141341.999,143903.999,148479.0,148763.003,146237.6011,134665.7502,153651.7266,157247.272,145938.6499,14123.658
OECD Americas,5067071.722,5093816.908,5042132.816,5089769.381,5193357.035,5193640.941,5217672.873,5193490.657,5370770.0189,5321311.2776999995,5146470.2337,5315553.0537,5489765.0248,455699.3482
OECD Asia Oceania,1873392.604,1860178.915,1870939.009,1852324.219,1860022.5010000002,1843930.3606,1858171.0941,1865432.407,1910643.3708,1859329.495,1820833.4197,1870180.3033,1874701.313,175498.872
OECD Europe,3487229.807,3444602.201,3479271.704,3449599.463,3383437.1890000002,3444530.524,3479048.867,3532539.8680000002,3522615.0762,3484755.9657,3390504.386,3518283.1293,3443538.8309,310781.2763
OECD Total,10427694.133,10398598.024,10392343.529,10391693.063000001,10436816.725,10482101.8256,10554892.8341,10591462.932,10804028.4656,10665396.738,10357808.0392,10704016.4864,10808005.1684,941979.4965
People's Republic of China,387718.65269470366,387909.07555884134,389949.00723873876,389979.51383333333,384004.5794096916,5559038.57,5876042.121,6363983.118,6770658.1225000005,7119023.3227,7433853.1249,8064720.2767,8416934.1027,713293.7862
Poland,143457.001,148913.176,147648.999,150079.001,145214.001,150694.999,152002.167,154869.334,155259.6711,151362.9691,146150.551,166546.476,164586.6237,14277.0319
Portugal,52782.301999999996,51128.055,45254.702,50411.9,51527.109,50940.181000000004,58861.817,57668.975,58197.2161,52185.1999,52278.2652,50311.3935,48755.3578,5714.4254
Republic of Turkiye,203046.001,217557.998,227706.999,228977.001,239449.0,249900.0,261937.102,284257.51900000003,289436.765,289135.7589,300240.6606,319539.98,312685.95900000003,25933.2554
Romania,387718.65269470366,387909.07555884134,389949.00723873876,389979.51383333333,384004.5794096916,61277.0,60255.998,59355.427,60175.5165,55177.2085,51923.7176,54635.7769,51137.5031,5186.0908
Serbia,387718.65269470366,387909.07555884134,389949.00723873876,389979.51383333333,384004.5794096916,35638.998,36628.0,34298.552,34783.407,34564.952,35273.8721,35352.4479,32759.2805,3387.4238
Slovak Republic,25431.0,26090.0,26137.001,27172.0,25006.999,24758.0,24997.002,25692.005,24863.0,26366.0,26162.3319,27453.0002,25120.8043,2367.6492
Slovenia,15409.859,15001.001,14704.807,15117.284,16486.028,14187.261,15546.521999999999,15396.881000000001,15441.970000000001,15224.354,16289.673999999999,15048.057,12783.0002,1178.9628
Spain,290951.002,283277.999,286574.0,275399.0,268380.001,269750.999,264343.996,264917.996,263827.0,263795.9999,254591.0,265331.0,283770.6627,24152.2754
Sweden,145263.599,146964.998,162829.0,149538.999,149956.999,159044.999,152530.563,160525.99599999998,159677.0001,165645.0,159888.6503,168623.0001,172616.7167,12329.5075
Switzerland,66130.846,62958.861,68159.016,68514.99,69985.931,66117.65,61693.255,61650.323,67450.7861,71739.189,70004.7109,64002.3997,64764.2713,5749.3837
United Kingdom,365946.001,351530.002,345889.001,340434.0,321617.0,327447.163,323896.665,322727.112,317545.727,309386.5301,297682.9231,297159.9671,318380.5226,28615.8556
United States,4158959.001,4136136.0,4077151.0,4093400.999,4123552.001,4109219.0,4119444.619,4086002.607,4236927.397,4195573.397,4051760.743,4187448.8378999997,4330870.6297,352140.2846
